date,rank,id,symbol,name,slug,price
2024-Jan-20 21:36:16,6,52,XRP,XRP,xrp,45.5337021966987
2024-Jan-20 21:36:16,7,3408,USDC,USDC,usd-coin,83.12579691124736
2024-Jan-20 21:36:16,8,2010,ADA,Cardano,cardano,42.47309475608323
2024-Jan-20 21:36:16,9,5805,AVAX,Avalanche,avalanche,2697.8908946791507
2024-Jan-20 21:36:16,10,74,DOGE,Dogecoin,dogecoin,6.585366114890924
2024-Jan-20 21:36:16,11,1958,TRX,TRON,tron,9.141743528098905
2024-Jan-20 21:36:16,12,1975,LINK,Chainlink,chainlink,1308.1790174683304
2024-Jan-20 21:36:16,13,6636,DOT,Polkadot,polkadot-new,570.3861631818241
2024-Jan-20 21:36:16,14,11419,TON,Toncoin,toncoin,185.90555725481744
2024-Jan-20 21:36:16,15,3890,MATIC,Polygon,polygon,64.33370831081083
2024-Jan-20 21:37:16,1,1,BTC,Bitcoin,bitcoin,3452556.8745623105
2024-Jan-20 21:37:16,2,1027,ETH,Ethereum,ethereum,204606.50550930755
2024-Jan-20 21:37:16,3,825,USDT,Tether USDt,tether,83.06473319357102
2024-Jan-20 21:37:16,4,1839,BNB,BNB,bnb,26082.806236735105
2024-Jan-20 21:37:16,5,5426,SOL,Solana,solana,7553.950659769408
2024-Jan-20 21:37:16,6,52,XRP,XRP,xrp,45.52778819410921
2024-Jan-20 21:37:16,7,3408,USDC,USDC,usd-coin,83.13472255911016
2024-Jan-20 21:37:16,8,2010,ADA,Cardano,cardano,42.47347312574632
2024-Jan-20 21:37:16,9,5805,AVAX,Avalanche,avalanche,2697.679732206339
2024-Jan-20 21:37:16,10,74,DOGE,Dogecoin,dogecoin,6.585213745485542
2024-Jan-20 21:37:16,11,1958,TRX,TRON,tron,9.141476927556413
2024-Jan-20 21:37:16,12,1975,LINK,Chainlink,chainlink,1308.2158765685574
2024-Jan-20 21:37:16,13,6636,DOT,Polkadot,polkadot-new,570.4958730851104
2024-Jan-20 21:37:16,14,11419,TON,Toncoin,toncoin,185.88745503712272
2024-Jan-20 21:37:16,15,3890,MATIC,Polygon,polygon,64.33695556236427
2024-Jan-20 21:38:18,1,1,BTC,Bitcoin,bitcoin,3452720.0891506686
2024-Jan-20 21:38:18,2,1027,ETH,Ethereum,ethereum,204642.70247119825
2024-Jan-20 21:38:18,3,825,USDT,Tether USDt,tether,83.0797506557857
2024-Jan-20 21:38:18,4,1839,BNB,BNB,bnb,26082.492563441618
2024-Jan-20 21:38:18,5,5426,SOL,Solana,solana,7551.5934420453905
2024-Jan-20 21:38:18,6,52,XRP,XRP,xrp,45.521194779108704
2024-Jan-20 21:38:18,7,3408,USDC,USDC,usd-coin,83.12412118492941
2024-Jan-20 21:38:18,8,2010,ADA,Cardano,cardano,42.46629305543318
2024-Jan-20 21:38:18,9,5805,AVAX,Avalanche,avalanche,2697.3056543509906
2024-Jan-20 21:38:18,10,74,DOGE,Dogecoin,dogecoin,6.585844061592755
2024-Jan-20 21:38:18,11,1958,TRX,TRON,tron,9.139861044661648
2024-Jan-20 21:38:18,12,1975,LINK,Chainlink,chainlink,1307.9960928526466
2024-Jan-20 21:38:18,13,6636,DOT,Polkadot,polkadot-new,570.4437310097416
2024-Jan-20 21:38:18,14,11419,TON,Toncoin,toncoin,185.91852115026876
2024-Jan-20 21:38:18,15,3890,MATIC,Polygon,polygon,64.32677398264062
2024-Jan-20 21:39:19,1,1,BTC,Bitcoin,bitcoin,3462271.4608780136
2024-Jan-20 21:39:19,2,1027,ETH,Ethereum,ethereum,205157.41126291093
2024-Jan-20 21:39:19,3,825,USDT,Tether USDt,tether,83.06307725584301
2024-Jan-20 21:39:19,4,1839,BNB,BNB,bnb,26092.935577278502
2024-Jan-20 21:39:19,5,5426,SOL,Solana,solana,7559.545667986946
2024-Jan-20 21:39:19,6,52,XRP,XRP,xrp,45.54351326598865
2024-Jan-20 21:39:19,7,3408,USDC,USDC,usd-coin,83.20861617431851
2024-Jan-20 21:39:19,8,2010,ADA,Cardano,cardano,42.447707754602625
2024-Jan-20 21:39:19,9,5805,AVAX,Avalanche,avalanche,2696.140977512147
2024-Jan-20 21:39:19,10,74,DOGE,Dogecoin,dogecoin,6.588640173234784
2024-Jan-20 21:39:19,11,1958,TRX,TRON,tron,9.139279872615903
2024-Jan-20 21:39:19,12,1975,LINK,Chainlink,chainlink,1307.2690427591765
2024-Jan-20 21:39:19,13,6636,DOT,Polkadot,polkadot-new,570.239289918705
2024-Jan-20 21:39:19,14,11419,TON,Toncoin,toncoin,185.946909691902
2024-Jan-20 21:39:19,15,3890,MATIC,Polygon,polygon,64.28737721305973
2024-Jan-20 21:40:21,1,1,BTC,Bitcoin,bitcoin,3462386.216752277
2024-Jan-20 21:40:21,2,1027,ETH,Ethereum,ethereum,205176.91888702492
2024-Jan-20 21:40:21,3,825,USDT,Tether USDt,tether,83.15013463268073
2024-Jan-20 21:40:21,4,1839,BNB,BNB,bnb,26122.57327130377
2024-Jan-20 21:40:21,5,5426,SOL,Solana,solana,7563.58128033199
2024-Jan-20 21:40:21,6,52,XRP,XRP,xrp,45.55018111382183
2024-Jan-20 21:40:21,7,3408,USDC,USDC,usd-coin,83.20698782027735
2024-Jan-20 21:40:21,8,2010,ADA,Cardano,cardano,42.462081008627855
2024-Jan-20 21:40:21,9,5805,AVAX,Avalanche,avalanche,2698.5876211573786
2024-Jan-20 21:40:21,10,74,DOGE,Dogecoin,dogecoin,6.589825371737464
2024-Jan-20 21:40:21,11,1958,TRX,TRON,tron,9.143351444370156
2024-Jan-20 21:40:21,12,1975,LINK,Chainlink,chainlink,1307.504728248972
2024-Jan-20 21:40:21,13,6636,DOT,Polkadot,polkadot-new,570.4867380340681
2024-Jan-20 21:40:21,14,11419,TON,Toncoin,toncoin,185.95646152422347
2024-Jan-20 21:40:21,15,3890,MATIC,Polygon,polygon,64.29227670948696
2024-Jan-20 22:07:25,1,1,BTC,Bitcoin,bitcoin,3458941.425025867
2024-Jan-20 22:07:25,2,1027,ETH,Ethereum,ethereum,204818.74164232917
2024-Jan-20 22:07:25,3,825,USDT,Tether USDt,tether,83.17915192853076
2024-Jan-20 22:07:25,4,1839,BNB,BNB,bnb,26189.569501660528
2024-Jan-20 22:07:25,5,5426,SOL,Solana,solana,7589.574869176396
2024-Jan-20 22:07:25,6,52,XRP,XRP,xrp,45.60721431861873
2024-Jan-20 22:07:25,7,3408,USDC,USDC,usd-coin,83.22851173372231
2024-Jan-20 22:07:25,8,2010,ADA,Cardano,cardano,42.56210760107331
2024-Jan-20 22:07:25,9,5805,AVAX,Avalanche,avalanche,2705.66535245382
2024-Jan-20 22:07:25,10,74,DOGE,Dogecoin,dogecoin,6.593707667915842
2024-Jan-20 22:07:25,11,1958,TRX,TRON,tron,9.15843835825746
2024-Jan-20 22:07:25,12,1975,LINK,Chainlink,chainlink,1311.6105547292188
2024-Jan-20 22:07:25,13,6636,DOT,Polkadot,polkadot-new,571.1268904943391
2024-Jan-20 22:07:25,14,11419,TON,Toncoin,toncoin,187.33516058050964
2024-Jan-20 22:07:25,15,3890,MATIC,Polygon,polygon,64.30488786509719
2024-Jan-20 22:08:27,1,1,BTC,Bitcoin,bitcoin,3458572.9730585464
2024-Jan-20 22:08:27,2,1027,ETH,Ethereum,ethereum,204784.89255728718
2024-Jan-20 22:08:27,3,825,USDT,Tether USDt,tether,83.16982181514562
2024-Jan-20 22:08:27,4,1839,BNB,BNB,bnb,26190.11517207502
2024-Jan-20 22:08:27,5,5426,SOL,Solana,solana,7583.244961459063
2024-Jan-20 22:08:27,6,52,XRP,XRP,xrp,45.59189139696682
2024-Jan-20 22:08:27,7,3408,USDC,USDC,usd-coin,83.22480139687227
